,재미,감동,욕,counts_H,counts_NH,probability_to_H,probability_to_NH
0,0,0,0,65314,72949,0.4723895763870305,0.5276104236129695
1,0,0,1,2216,6861,0.244133524292167,0.7558664757078329
2,0,1,0,5985,1174,0.8360106160078223,0.1639893839921777
3,0,1,1,184,178,0.5082872928176796,0.49171270718232046
4,1,0,0,14672,7617,0.6582619229216206,0.34173807707837944
5,1,0,1,453,803,0.3606687898089172,0.6393312101910829
6,1,1,0,1090,393,0.7349966284558328,0.26500337154416725
7,1,1,1,52,59,0.46846846846846846,0.5315315315315315
