,combination,score
212,1300_250_0.62,77.92
213,1300_250_0.61,77.91
214,1300_250_0.6,78.08
215,1300_250_0.59,78.21
216,1300_250_0.58,78.53
217,1300_250_0.57,78.59
218,1300_250_0.56,78.56
219,1300_250_0.55,78.55
220,1300_200_0.65,78.25
221,1300_200_0.64,78.42
222,1300_200_0.63,78.55
223,1300_200_0.62,78.87
224,1300_200_0.61,78.9
225,1300_200_0.6,79.03
226,1300_200_0.59,79.04
227,1300_200_0.58,79.26
228,1300_200_0.57,79.17
229,1300_200_0.56,79.21
230,1300_200_0.55,79.24
231,1300_150_0.65,78.94
232,1300_150_0.64,79.12
233,1300_150_0.63,79.3
234,1300_150_0.62,79.46
235,1300_150_0.61,79.67
236,1300_150_0.6,79.79
237,1300_150_0.59,79.66
238,1300_150_0.58,79.95
239,1300_150_0.57,79.8
240,1300_150_0.56,79.72
241,1300_150_0.55,79.6
242,1300_100_0.65,80.17
243,1300_100_0.64,80.19
244,1300_100_0.63,80.16
245,1300_100_0.62,80.24
246,1300_100_0.61,80.22
247,1300_100_0.6,80.17
248,1300_100_0.59,79.87
249,1300_100_0.58,80.14
250,1300_100_0.57,79.8
251,1300_100_0.56,79.72
252,1300_100_0.55,79.6
253,1300_80_0.65,80.23
254,1300_80_0.64,80.19
255,1300_80_0.63,80.16
256,1300_80_0.62,80.24
257,1300_80_0.61,80.22
258,1300_80_0.6,80.17
259,1300_80_0.59,79.87
260,1300_80_0.58,80.14
261,1300_80_0.57,79.8
262,1300_80_0.56,79.72
263,1300_80_0.55,79.6
264,1400_300_0.65,76.43
265,1400_300_0.64,76.58
266,1400_300_0.63,76.59
267,1400_300_0.62,76.86
268,1400_300_0.61,76.93
269,1400_300_0.6,77.09
270,1400_300_0.59,77.26
271,1400_300_0.58,77.59
272,1400_300_0.57,77.62
273,1400_300_0.56,77.74
274,1400_300_0.55,77.73
275,1400_250_0.65,77.44
276,1400_250_0.64,77.56
277,1400_250_0.63,77.63
278,1400_250_0.62,77.92
279,1400_250_0.61,77.91
280,1400_250_0.6,78.08
281,1400_250_0.59,78.21
282,1400_250_0.58,78.53
283,1400_250_0.57,78.59
284,1400_250_0.56,78.56
285,1400_250_0.55,78.55
286,1400_200_0.65,78.25
287,1400_200_0.64,78.42
288,1400_200_0.63,78.55
289,1400_200_0.62,78.87
290,1400_200_0.61,78.9
291,1400_200_0.6,79.03
292,1400_200_0.59,79.04
293,1400_200_0.58,79.26
294,1400_200_0.57,79.17
295,1400_200_0.56,79.21
296,1400_200_0.55,79.24
297,1400_150_0.65,78.94
298,1400_150_0.64,79.12
299,1400_150_0.63,79.3
300,1400_150_0.62,79.46
301,1400_150_0.61,79.67
302,1400_150_0.6,79.79
303,1400_150_0.59,79.66
304,1400_150_0.58,79.95
305,1400_150_0.57,79.84
306,1400_150_0.56,79.96
307,1400_150_0.55,79.78
308,1400_100_0.65,80.17
309,1400_100_0.64,80.28
310,1400_100_0.63,80.41
311,1400_100_0.62,80.51
312,1400_100_0.61,80.4
313,1400_100_0.6,80.35
314,1400_100_0.59,80.18
315,1400_100_0.58,80.3
316,1400_100_0.57,80.08
317,1400_100_0.56,79.96
318,1400_100_0.55,79.78
319,1400_80_0.65,80.27
320,1400_80_0.64,80.35
321,1400_80_0.63,80.41
322,1400_80_0.62,80.51
323,1400_80_0.61,80.4
324,1400_80_0.6,80.35
325,1400_80_0.59,80.18
326,1400_80_0.58,80.3
327,1400_80_0.57,80.08
328,1400_80_0.56,79.96
329,1400_80_0.55,79.78
